booking_id,hotel_id,hotel_name,room_type,nights,price_per_night,check_in,status
3251,H033,Hotel a,Single,7,79,2024-12-22,confirmed
2426,H025,Hotel Y,Double,6,115,2024-01-08,confirmed
1885,H019,Hotel S,Single,3,430,2024-04-19,confirmed
2457,H025,Hotel Y,Single,9,257,2024-07-03,confirmed
2160,H022,Hotel V,Suite,8,172,2024-07-26,confirmed
2915,H030,Hotel ^,Suite,2,379,2024-09-10,confirmed
3605,H037,Hotel e,Double,6,475,2024-07-08,confirmed
4735,H048,Hotel p,Deluxe,2,371,2024-12-09,confirmed
816,H009,Hotel I,Deluxe,6,231,2024-02-27,confirmed
4102,H042,Hotel j,Single,3,453,2024-12-19,confirmed
3295,H033,Hotel a,Suite,1,499,2024-05-06,confirmed
4432,H045,Hotel m,Suite,2,177,2024-07-20,confirmed
3962,H040,Hotel h,Single,4,325,2024-10-15,confirmed
3839,H039,Hotel g,Deluxe,3,192,2024-04-16,canceled
2045,H021,Hotel U,Deluxe,9,463,2024-07-19,canceled
1362,H014,Hotel N,Double,7,336,2024-10-16,confirmed
4094,H041,Hotel i,Suite,7,77,2024-03-18,confirmed
1388,H014,Hotel N,Deluxe,9,287,2024-06-13,canceled
1383,H014,Hotel N,Single,8,366,2024-06-17,confirmed
1488,H015,Hotel O,Single,9,304,2024-09-26,confirmed
967,H010,Hotel J,Deluxe,6,132,2024-02-19,confirmed
3998,H040,Hotel h,Double,6,426,2024-07-13,confirmed
2677,H027,Hotel [,Single,2,87,2024-08-07,canceled
1502,H016,Hotel P,Suite,1,116,2024-08-15,confirmed
4310,H044,Hotel l,Deluxe,6,492,2024-03-07,confirmed
48,H001,Hotel A,Suite,10,218,2024-07-07,confirmed
4545,H046,Hotel n,Deluxe,6,299,2024-01-12,confirmed
36,H001,Hotel A,Deluxe,2,466,2024-08-17,confirmed
1074,H011,Hotel K,Suite,1,130,2024-04-23,canceled
1134,H012,Hotel L,Deluxe,10,295,2024-03-04,confirmed
4600,H046,Hotel n,Deluxe,1,228,2024-05-15,confirmed
324,H004,Hotel D,Suite,3,386,2024-01-02,canceled
4462,H045,Hotel m,Deluxe,9,135,2024-07-12,confirmed
4078,H041,Hotel i,Deluxe,5,393,2024-05-23,canceled
2899,H029,Hotel ],Double,8,399,2024-05-13,confirmed
993,H010,Hotel J,Single,3,332,2024-07-04,confirmed
1027,H011,Hotel K,Deluxe,5,452,2024-01-07,confirmed
2569,H026,Hotel Z,Suite,1,488,2024-11-23,confirmed
2005,H021,Hotel U,Deluxe,2,338,2024-01-08,canceled
1975,H020,Hotel T,Deluxe,6,339,2024-07-07,confirmed
1980,H020,Hotel T,Suite,9,354,2024-01-05,confirmed
4239,H043,Hotel k,Single,10,264,2024-12-14,confirmed
1832,H019,Hotel S,Double,3,323,2024-02-14,canceled
4505,H046,Hotel n,Double,10,127,2024-12-23,confirmed
3368,H034,Hotel b,Double,6,312,2024-06-06,confirmed
1137,H012,Hotel L,Deluxe,7,256,2024-06-21,confirmed
3208,H033,Hotel a,Deluxe,6,132,2024-09-04,canceled
4512,H046,Hotel n,Double,2,382,2024-10-22,confirmed
2686,H027,Hotel [,Suite,9,63,2024-05-15,confirmed
4443,H045,Hotel m,Deluxe,4,368,2024-09-25,confirmed
4092,H041,Hotel i,Double,8,175,2024-07-09,confirmed
2,H001,Hotel A,Deluxe,9,233,2024-10-11,confirmed
3006,H031,Hotel _,Deluxe,4,208,2024-01-12,confirmed
3752,H038,Hotel f,Deluxe,9,66,2024-05-24,confirmed
2887,H029,Hotel ],Double,9,82,2024-05-18,confirmed
43,H001,Hotel A,Suite,7,123,2024-01-20,canceled
2359,H024,Hotel X,Deluxe,8,491,2024-04-10,confirmed
1428,H015,Hotel O,Single,9,189,2024-02-03,confirmed
1743,H018,Hotel R,Deluxe,7,55,2024-08-20,confirmed
2941,H030,Hotel ^,Single,5,119,2024-06-12,canceled
4366,H044,Hotel l,Deluxe,6,383,2024-09-27,confirmed
3349,H034,Hotel b,Double,8,264,2024-12-11,confirmed
2065,H021,Hotel U,Single,4,304,2024-04-12,confirmed
2407,H025,Hotel Y,Suite,8,467,2024-01-12,confirmed
216,H003,Hotel C,Single,9,286,2024-08-05,confirmed
1970,H020,Hotel T,Double,6,129,2024-11-20,confirmed
1402,H015,Hotel O,Double,8,479,2024-11-13,confirmed
2380,H024,Hotel X,Suite,10,133,2024-08-05,confirmed
3656,H037,Hotel e,Single,6,391,2024-06-04,confirmed
4181,H042,Hotel j,Double,3,440,2024-09-25,confirmed
3227,H033,Hotel a,Suite,1,291,2024-11-27,confirmed
4422,H045,Hotel m,Single,3,83,2024-12-23,canceled
1318,H014,Hotel N,Deluxe,5,191,2024-10-17,confirmed
4622,H047,Hotel o,Double,2,167,2024-12-06,confirmed
558,H006,Hotel F,Deluxe,3,57,2024-06-18,confirmed
3776,H038,Hotel f,Single,6,354,2024-02-13,confirmed
605,H007,Hotel G,Suite,7,426,2024-07-07,confirmed
2387,H024,Hotel X,Deluxe,6,233,2024-11-27,confirmed
2511,H026,Hotel Z,Double,5,339,2024-02-16,confirmed
1744,H018,Hotel R,Suite,10,180,2024-07-04,confirmed
3472,H035,Hotel c,Single,1,142,2024-03-22,confirmed
549,H006,Hotel F,Single,8,486,2024-03-12,confirmed
3141,H032,Hotel `,Deluxe,3,449,2024-04-20,confirmed
2117,H022,Hotel V,Single,2,177,2024-06-25,confirmed
2233,H023,Hotel W,Suite,5,267,2024-02-20,confirmed
3003,H031,Hotel _,Deluxe,1,173,2024-03-03,confirmed
3182,H032,Hotel `,Double,1,304,2024-02-02,confirmed
524,H006,Hotel F,Suite,4,494,2024-03-08,confirmed
4546,H046,Hotel n,Single,4,76,2024-10-22,confirmed
3216,H033,Hotel a,Single,5,388,2024-06-08,canceled
167,H002,Hotel B,Double,10,329,2024-12-02,confirmed
4872,H049,Hotel q,Suite,9,84,2024-12-19,confirmed
3475,H035,Hotel c,Double,10,212,2024-09-16,confirmed
4549,H046,Hotel n,Double,6,308,2024-08-18,confirmed
4334,H044,Hotel l,Double,7,435,2024-05-06,confirmed
647,H007,Hotel G,Deluxe,4,228,2024-03-24,confirmed
1429,H015,Hotel O,Double,9,375,2024-08-19,confirmed
1296,H013,Hotel M,Deluxe,3,475,2024-09-26,confirmed
2510,H026,Hotel Z,Suite,6,440,2024-04-02,confirmed
2809,H029,Hotel ],Double,7,92,2024-02-03,confirmed
505,H006,Hotel F,Suite,6,274,2024-01-05,confirmed
2799,H028,Hotel \,Single,10,185,2024-01-07,confirmed
1503,H016,Hotel P,Double,10,433,2024-07-05,confirmed
3920,H040,Hotel h,Suite,4,447,2024-02-27,confirmed
3096,H031,Hotel _,Double,5,105,2024-10-15,confirmed
4531,H046,Hotel n,Deluxe,3,317,2024-01-14,confirmed
4523,H046,Hotel n,Double,2,152,2024-04-03,confirmed
2088,H021,Hotel U,Deluxe,6,329,2024-02-10,canceled
4158,H042,Hotel j,Double,8,386,2024-02-12,confirmed
726,H008,Hotel H,Double,9,253,2024-09-26,confirmed
2798,H028,Hotel \,Suite,4,327,2024-05-17,canceled
4066,H041,Hotel i,Suite,5,438,2024-03-18,canceled
2908,H030,Hotel ^,Double,2,449,2024-08-18,confirmed
263,H003,Hotel C,Deluxe,1,222,2024-01-21,confirmed
2955,H030,Hotel ^,Suite,8,114,2024-04-03,canceled
1386,H014,Hotel N,Double,7,471,2024-09-17,confirmed
3408,H035,Hotel c,Deluxe,2,287,2024-04-23,confirmed
1985,H020,Hotel T,Double,10,222,2024-09-10,confirmed
3993,H040,Hotel h,Suite,8,433,2024-11-03,confirmed
954,H010,Hotel J,Double,6,190,2024-09-14,confirmed
3238,H033,Hotel a,Deluxe,10,424,2024-12-22,confirmed
1959,H020,Hotel T,Deluxe,6,296,2024-03-02,confirmed
2699,H027,Hotel [,Double,1,124,2024-04-24,confirmed
2070,H021,Hotel U,Single,9,150,2024-12-24,confirmed
4978,H050,Hotel r,Single,6,175,2024-10-21,confirmed
1806,H019,Hotel S,Deluxe,9,60,2024-10-25,confirmed
2406,H025,Hotel Y,Suite,7,87,2024-05-16,canceled
3701,H038,Hotel f,Single,7,280,2024-05-22,canceled
4986,H050,Hotel r,Single,6,306,2024-08-04,confirmed
3465,H035,Hotel c,Single,3,403,2024-01-23,confirmed
4314,H044,Hotel l,Single,4,307,2024-07-19,confirmed
4305,H044,Hotel l,Deluxe,8,476,2024-06-15,confirmed
807,H009,Hotel I,Deluxe,5,73,2024-08-06,canceled
3075,H031,Hotel _,Double,4,367,2024-06-24,confirmed
2974,H030,Hotel ^,Double,6,390,2024-11-24,confirmed
831,H009,Hotel I,Double,7,454,2024-03-28,confirmed
2098,H021,Hotel U,Single,9,214,2024-06-20,confirmed
275,H003,Hotel C,Double,5,135,2024-12-25,confirmed
2222,H023,Hotel W,Suite,6,451,2024-11-09,confirmed
4204,H043,Hotel k,Suite,6,58,2024-12-12,confirmed
2362,H024,Hotel X,Deluxe,6,436,2024-10-03,confirmed
4980,H050,Hotel r,Double,7,300,2024-09-20,confirmed
2399,H024,Hotel X,Single,10,248,2024-01-06,confirmed
1763,H018,Hotel R,Double,9,384,2024-10-14,canceled
914,H010,Hotel J,Double,7,448,2024-01-01,confirmed
4012,H041,Hotel i,Double,1,182,2024-08-27,confirmed
3102,H032,Hotel `,Double,9,498,2024-02-27,confirmed
2342,H024,Hotel X,Deluxe,7,264,2024-01-23,confirmed
838,H009,Hotel I,Deluxe,4,59,2024-05-24,confirmed
3547,H036,Hotel d,Single,6,173,2024-04-25,confirmed
85,H001,Hotel A,Single,8,332,2024-05-15,confirmed
1215,H013,Hotel M,Deluxe,5,259,2024-04-26,confirmed
3921,H040,Hotel h,Deluxe,2,417,2024-12-12,confirmed
2878,H029,Hotel ],Double,4,426,2024-08-11,canceled
4808,H049,Hotel q,Deluxe,3,440,2024-10-12,canceled
4215,H043,Hotel k,Single,9,115,2024-04-08,confirmed
4468,H045,Hotel m,Single,6,436,2024-09-19,confirmed
3819,H039,Hotel g,Single,1,179,2024-09-18,confirmed
3512,H036,Hotel d,Double,6,93,2024-01-04,confirmed
1892,H019,Hotel S,Single,7,390,2024-10-11,confirmed
265,H003,Hotel C,Double,6,117,2024-04-19,canceled
2292,H023,Hotel W,Deluxe,1,357,2024-04-18,canceled
3523,H036,Hotel d,Deluxe,6,299,2024-12-22,confirmed
609,H007,Hotel G,Double,2,305,2024-01-22,confirmed
4916,H050,Hotel r,Double,8,99,2024-08-01,confirmed
2566,H026,Hotel Z,Single,4,334,2024-02-09,confirmed
2779,H028,Hotel \,Deluxe,8,174,2024-06-15,confirmed
1301,H014,Hotel N,Suite,2,354,2024-01-11,confirmed
2703,H028,Hotel \,Single,4,112,2024-11-26,confirmed
2147,H022,Hotel V,Single,3,217,2024-03-01,confirmed
522,H006,Hotel F,Suite,3,51,2024-08-18,confirmed
2690,H027,Hotel [,Double,5,211,2024-05-03,confirmed
471,H005,Hotel E,Double,3,77,2024-05-27,confirmed
4457,H045,Hotel m,Deluxe,1,50,2024-01-15,canceled
109,H002,Hotel B,Double,5,181,2024-11-25,confirmed
1563,H016,Hotel P,Suite,3,336,2024-05-05,confirmed
2612,H027,Hotel [,Suite,5,307,2024-10-28,confirmed
1611,H017,Hotel Q,Deluxe,3,272,2024-03-18,confirmed
652,H007,Hotel G,Suite,4,474,2024-05-11,confirmed
2298,H023,Hotel W,Double,5,228,2024-05-23,confirmed
205,H003,Hotel C,Suite,7,406,2024-08-23,confirmed
1789,H018,Hotel R,Deluxe,1,457,2024-03-24,confirmed
1513,H016,Hotel P,Single,4,306,2024-04-06,canceled
4666,H047,Hotel o,Double,3,287,2024-03-17,confirmed
1311,H014,Hotel N,Deluxe,4,142,2024-12-01,canceled
2012,H021,Hotel U,Double,8,151,2024-02-24,confirmed
629,H007,Hotel G,Deluxe,2,371,2024-02-23,confirmed
2654,H027,Hotel [,Suite,10,442,2024-04-11,canceled
3678,H037,Hotel e,Suite,7,397,2024-04-06,canceled
2246,H023,Hotel W,Deluxe,7,69,2024-05-13,confirmed
4496,H045,Hotel m,Deluxe,9,350,2024-02-19,confirmed
2047,H021,Hotel U,Deluxe,7,160,2024-01-24,confirmed
734,H008,Hotel H,Double,1,243,2024-06-19,confirmed
1466,H015,Hotel O,Single,3,115,2024-05-14,confirmed
438,H005,Hotel E,Deluxe,8,457,2024-11-28,confirmed
420,H005,Hotel E,Suite,2,190,2024-12-25,confirmed
2000,H020,Hotel T,Double,5,50,2024-02-26,confirmed
4654,H047,Hotel o,Deluxe,3,317,2024-08-07,confirmed
2224,H023,Hotel W,Single,5,322,2024-10-14,canceled
3790,H038,Hotel f,Suite,7,405,2024-06-28,confirmed
4783,H048,Hotel p,Deluxe,6,481,2024-04-22,confirmed
1094,H011,Hotel K,Suite,3,422,2024-09-13,canceled
1937,H020,Hotel T,Suite,1,188,2024-12-24,confirmed
3079,H031,Hotel _,Single,6,282,2024-07-20,canceled
2033,H021,Hotel U,Deluxe,2,416,2024-04-10,confirmed
1536,H016,Hotel P,Single,8,343,2024-06-22,confirmed
408,H005,Hotel E,Double,4,226,2024-09-12,confirmed
448,H005,Hotel E,Suite,3,452,2024-06-13,confirmed
1904,H020,Hotel T,Deluxe,2,341,2024-11-06,confirmed
3988,H040,Hotel h,Suite,5,415,2024-02-15,confirmed
562,H006,Hotel F,Deluxe,4,285,2024-10-17,confirmed
2262,H023,Hotel W,Deluxe,1,80,2024-11-26,confirmed
537,H006,Hotel F,Single,3,179,2024-12-20,confirmed
3898,H039,Hotel g,Single,8,176,2024-03-09,confirmed
1088,H011,Hotel K,Single,5,315,2024-04-27,confirmed
40,H001,Hotel A,Deluxe,7,358,2024-05-13,confirmed
3059,H031,Hotel _,Single,3,157,2024-01-12,canceled
1066,H011,Hotel K,Suite,6,350,2024-11-28,confirmed
1432,H015,Hotel O,Single,4,379,2024-09-28,confirmed
3420,H035,Hotel c,Double,1,288,2024-11-24,confirmed
3300,H033,Hotel a,Single,8,307,2024-04-15,canceled
4770,H048,Hotel p,Suite,8,142,2024-06-10,confirmed
3989,H040,Hotel h,Single,8,391,2024-10-13,confirmed
1486,H015,Hotel O,Deluxe,2,438,2024-09-13,canceled
4525,H046,Hotel n,Single,6,297,2024-02-11,confirmed
3782,H038,Hotel f,Suite,5,222,2024-05-23,confirmed
1374,H014,Hotel N,Double,10,162,2024-11-08,confirmed
3174,H032,Hotel `,Suite,4,155,2024-04-06,canceled
887,H009,Hotel I,Suite,6,302,2024-04-08,confirmed
3751,H038,Hotel f,Double,6,127,2024-07-15,confirmed
2383,H024,Hotel X,Suite,9,269,2024-04-14,confirmed
2992,H030,Hotel ^,Double,7,238,2024-11-10,confirmed
4786,H048,Hotel p,Suite,9,400,2024-04-06,confirmed
1250,H013,Hotel M,Suite,1,370,2024-09-11,confirmed
527,H006,Hotel F,Suite,2,337,2024-03-22,confirmed
1257,H013,Hotel M,Suite,1,394,2024-12-28,confirmed
1151,H012,Hotel L,Deluxe,1,491,2024-12-13,canceled
4154,H042,Hotel j,Double,7,463,2024-02-25,confirmed
2337,H024,Hotel X,Deluxe,1,488,2024-07-18,canceled
2837,H029,Hotel ],Deluxe,7,245,2024-08-09,confirmed
4446,H045,Hotel m,Suite,2,177,2024-07-17,confirmed
962,H010,Hotel J,Double,5,90,2024-04-23,confirmed
1730,H018,Hotel R,Double,6,201,2024-08-13,confirmed
63,H001,Hotel A,Deluxe,1,311,2024-09-11,canceled
58,H001,Hotel A,Single,1,170,2024-07-26,canceled
4132,H042,Hotel j,Suite,1,201,2024-02-27,confirmed
3454,H035,Hotel c,Single,3,98,2024-04-13,confirmed
3638,H037,Hotel e,Deluxe,6,176,2024-12-18,canceled
1979,H020,Hotel T,Deluxe,8,359,2024-01-19,confirmed
3994,H040,Hotel h,Deluxe,4,153,2024-09-21,confirmed
604,H007,Hotel G,Suite,5,68,2024-09-13,confirmed
4205,H043,Hotel k,Suite,4,488,2024-09-17,confirmed
2839,H029,Hotel ],Suite,6,75,2024-01-16,confirmed
4251,H043,Hotel k,Deluxe,2,491,2024-10-11,confirmed
1073,H011,Hotel K,Deluxe,2,107,2024-04-03,confirmed
572,H006,Hotel F,Deluxe,2,392,2024-02-06,confirmed
2939,H030,Hotel ^,Deluxe,4,166,2024-10-12,confirmed
2009,H021,Hotel U,Deluxe,10,411,2024-04-09,confirmed
990,H010,Hotel J,Double,5,302,2024-05-08,canceled
2438,H025,Hotel Y,Deluxe,7,183,2024-08-06,confirmed
3602,H037,Hotel e,Deluxe,2,199,2024-05-02,confirmed
1169,H012,Hotel L,Double,10,454,2024-06-17,confirmed
2949,H030,Hotel ^,Double,6,186,2024-10-13,confirmed
2165,H022,Hotel V,Suite,9,52,2024-01-05,confirmed
4144,H042,Hotel j,Deluxe,9,497,2024-06-16,confirmed
2499,H025,Hotel Y,Deluxe,4,268,2024-11-02,confirmed
3415,H035,Hotel c,Double,4,347,2024-10-14,confirmed
3741,H038,Hotel f,Deluxe,3,177,2024-02-16,confirmed
2158,H022,Hotel V,Deluxe,2,277,2024-09-18,canceled
4982,H050,Hotel r,Single,7,416,2024-09-15,canceled
3173,H032,Hotel `,Deluxe,2,211,2024-10-17,canceled
358,H004,Hotel D,Single,7,423,2024-05-21,confirmed
460,H005,Hotel E,Deluxe,4,88,2024-08-08,confirmed
2472,H025,Hotel Y,Double,9,294,2024-02-24,confirmed
2357,H024,Hotel X,Deluxe,3,326,2024-03-15,confirmed
243,H003,Hotel C,Suite,4,199,2024-08-18,confirmed
3949,H040,Hotel h,Suite,7,290,2024-08-17,canceled
1107,H012,Hotel L,Suite,8,379,2024-04-27,confirmed
4179,H042,Hotel j,Double,5,316,2024-12-07,confirmed
4630,H047,Hotel o,Suite,5,271,2024-08-23,confirmed
4739,H048,Hotel p,Double,5,464,2024-09-22,confirmed
2392,H024,Hotel X,Single,5,152,2024-05-10,confirmed
3929,H040,Hotel h,Single,5,203,2024-08-23,confirmed
2597,H026,Hotel Z,Deluxe,10,64,2024-09-04,confirmed
1050,H011,Hotel K,Deluxe,8,318,2024-04-26,confirmed
1673,H017,Hotel Q,Single,1,100,2024-01-09,confirmed
1319,H014,Hotel N,Double,9,416,2024-07-24,confirmed
8,H001,Hotel A,Double,10,110,2024-12-28,canceled
443,H005,Hotel E,Suite,5,326,2024-05-17,confirmed
878,H009,Hotel I,Double,10,151,2024-10-04,canceled
2712,H028,Hotel \,Deluxe,1,294,2024-02-25,canceled
1454,H015,Hotel O,Deluxe,8,418,2024-02-01,canceled
126,H002,Hotel B,Single,2,127,2024-09-18,canceled
4579,H046,Hotel n,Suite,1,310,2024-08-02,canceled
824,H009,Hotel I,Deluxe,4,311,2024-12-13,confirmed
2172,H022,Hotel V,Suite,7,475,2024-12-04,confirmed
646,H007,Hotel G,Suite,6,445,2024-03-25,confirmed
1946,H020,Hotel T,Single,9,391,2024-02-25,canceled
4959,H050,Hotel r,Single,7,412,2024-07-05,confirmed
1391,H014,Hotel N,Suite,9,140,2024-06-09,confirmed
2037,H021,Hotel U,Double,4,248,2024-10-20,confirmed
1120,H012,Hotel L,Double,4,242,2024-10-28,canceled
1511,H016,Hotel P,Suite,5,53,2024-01-08,confirmed
2717,H028,Hotel \,Single,8,69,2024-10-11,canceled
2121,H022,Hotel V,Double,2,140,2024-01-15,confirmed
347,H004,Hotel D,Deluxe,5,494,2024-02-20,confirmed
3826,H039,Hotel g,Suite,9,270,2024-08-24,confirmed
2807,H029,Hotel ],Deluxe,2,370,2024-09-09,confirmed
2479,H025,Hotel Y,Deluxe,1,66,2024-11-26,confirmed
3708,H038,Hotel f,Single,1,454,2024-03-03,canceled
1683,H017,Hotel Q,Single,9,386,2024-03-10,confirmed
290,H003,Hotel C,Single,4,287,2024-12-17,confirmed
1561,H016,Hotel P,Suite,1,316,2024-02-14,confirmed
4450,H045,Hotel m,Deluxe,5,153,2024-06-11,canceled
468,H005,Hotel E,Single,7,66,2024-11-11,confirmed
1217,H013,Hotel M,Suite,5,66,2024-10-15,canceled
3639,H037,Hotel e,Single,4,437,2024-12-19,confirmed
2140,H022,Hotel V,Suite,8,343,2024-04-14,confirmed
342,H004,Hotel D,Suite,6,120,2024-12-01,confirmed
2476,H025,Hotel Y,Suite,4,67,2024-11-23,confirmed
1269,H013,Hotel M,Suite,5,469,2024-03-13,confirmed
677,H007,Hotel G,Suite,7,70,2024-10-24,confirmed
608,H007,Hotel G,Single,10,287,2024-02-24,canceled
4541,H046,Hotel n,Deluxe,5,255,2024-12-17,canceled
2816,H029,Hotel ],Double,9,233,2024-05-04,confirmed
3188,H032,Hotel `,Suite,7,122,2024-02-21,canceled
1485,H015,Hotel O,Single,1,117,2024-04-07,confirmed
4031,H041,Hotel i,Double,4,356,2024-07-09,confirmed
1142,H012,Hotel L,Suite,9,231,2024-02-08,confirmed
739,H008,Hotel H,Double,5,271,2024-03-26,confirmed
3244,H033,Hotel a,Suite,5,202,2024-09-27,canceled
1400,H014,Hotel N,Deluxe,3,405,2024-02-08,canceled
3400,H034,Hotel b,Single,10,374,2024-03-18,confirmed
3997,H040,Hotel h,Double,6,287,2024-12-07,confirmed
4106,H042,Hotel j,Deluxe,7,260,2024-10-28,canceled
648,H007,Hotel G,Suite,4,344,2024-12-09,confirmed
4191,H042,Hotel j,Suite,1,129,2024-11-18,confirmed
246,H003,Hotel C,Single,7,396,2024-03-07,confirmed
300,H003,Hotel C,Deluxe,4,414,2024-11-03,confirmed
926,H010,Hotel J,Single,5,431,2024-02-11,confirmed
2115,H022,Hotel V,Deluxe,10,86,2024-06-13,confirmed
808,H009,Hotel I,Suite,1,86,2024-10-25,confirmed
893,H009,Hotel I,Suite,3,373,2024-10-02,confirmed
1270,H013,Hotel M,Double,9,165,2024-09-23,canceled
2780,H028,Hotel \,Single,2,316,2024-07-24,confirmed
1299,H013,Hotel M,Double,2,406,2024-07-12,confirmed
4571,H046,Hotel n,Deluxe,4,214,2024-01-03,confirmed
649,H007,Hotel G,Double,7,299,2024-12-17,confirmed
1918,H020,Hotel T,Deluxe,2,450,2024-03-14,confirmed
2917,H030,Hotel ^,Deluxe,5,287,2024-07-09,confirmed
1230,H013,Hotel M,Suite,9,224,2024-11-04,confirmed
3330,H034,Hotel b,Double,1,153,2024-05-17,confirmed
337,H004,Hotel D,Deluxe,1,190,2024-07-09,canceled
2861,H029,Hotel ],Deluxe,8,382,2024-11-03,confirmed
3339,H034,Hotel b,Single,8,182,2024-01-09,confirmed
3324,H034,Hotel b,Deluxe,3,289,2024-12-19,confirmed
3082,H031,Hotel _,Single,6,221,2024-07-04,confirmed
4289,H043,Hotel k,Deluxe,5,358,2024-06-19,confirmed
399,H004,Hotel D,Deluxe,5,461,2024-07-14,confirmed
2606,H027,Hotel [,Suite,3,287,2024-08-05,confirmed
